timestamp,username,computerid,fileaccesstype,filedestinationdirectory,nearbyusers,computer_user_location,computerroom,computer_user_role,shift_start,shift_end,day_type,assigned_computer_id,nearby_user_roles,file_destination,file_destination_name,file_type
2025-03-26 00:59:22,manager1,Computer A1,File Opening,C:\Users\janva\Downloads\Manager1\~$nager1_OPEN.docx,['Manager1'],Room A,Room A,Manager,9:00:00,18:00:00,Weekend,C4D5E6F7-7890-23CD-78AB-567890ABCDEF,Manager,janva,~$nager1_OPEN.docx,Confidential
2025-03-26 00:59:29,as1,Computer C1,File Opening,C:\Users\janva\Downloads\AS1\~$1_OPEN_NON.docx,"['Manager2', 'AS1']",Room C,Room C,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,"Manager, Administrative Staff",janva,~$1_OPEN_NON.docx,Non-confidential
2025-03-26 00:59:35,manager1,Computer A1,File Copy,C:\Users\janva\Downloads\ExternalDrive\Manager1_COPY_EXTERNAL_1.docx,['Manager1'],Room A,Room A,Manager,9:00:00,18:00:00,Weekend,C4D5E6F7-7890-23CD-78AB-567890ABCDEF,Manager,janva,Manager1_COPY_EXTERNAL_1.docx,Confidential
2025-03-26 00:59:39,manager2,Computer D,File Copy,C:\Users\janva\Downloads\ExternalDrive\Manager2_COPY_NON_EXTERNAL_1.docx,"['Director1', 'AS2', 'Manager2']",Room D,Room D,Manager,9:00:00,18:00:00,Weekend,C4D5E6F7-7890-23CD-78AB-567890ABCDEF,"Director, Administrative Staff, Manager",janva,Manager2_COPY_NON_EXTERNAL_1.docx,Non-confidential
2025-03-26 00:59:43,director2,Computer A1,File Copy,C:\Users\janva\Downloads\Manager2\Director2_COPY_NON_OTHERS_1.docx,"['Director2', 'AS2']",Room A,Room A,Director,12:00:00,21:00:00,Weekend,D2E1F0A9-8901-23CD-45EF-6789012345FE,"Director, Administrative Staff",janva,Director2_COPY_NON_OTHERS_1.docx,Non-confidential
2025-03-26 00:59:49,as1,Computer A0,File Opening,C:\Users\janva\Downloads\AS1\~$1_OPEN.docx,"['AS1', 'Manager1']",Room A,Room A,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,"Administrative Staff, Manager",janva,~$1_OPEN.docx,Confidential
2025-03-26 00:59:56,as2,Computer D,File Copy,C:\Users\janva\Downloads\AS2_InternalFolder\AS2_COPY_INTERNAL_1.docx,"['Director1', 'AS2']",Room D,Room D,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,"Director, Administrative Staff",janva,AS2_COPY_INTERNAL_1.docx,Confidential
2025-03-26 01:00:03,as2,Computer A1,File Opening,C:\Users\janva\Downloads\AS2\~$2_OPEN.docx,"['AS2', 'Director1']",Room A,Room A,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,"Administrative Staff, Director",janva,~$2_OPEN.docx,Confidential
2025-03-26 01:00:10,director1,Computer D,File Move,C:\Users\janva\Downloads\AS2\Director1_MOVE_NON_OTHERS_1.docx,"['Manager2', 'Director1']",Room D,Room D,Director,12:00:00,21:00:00,Weekend,D2E1F0A9-8901-23CD-45EF-6789012345FE,"Manager, Director",janva,Director1_MOVE_NON_OTHERS_1.docx,Non-confidential
2025-03-26 01:00:16,as2,Computer A1,File Opening,C:\Users\janva\Downloads\AS2\~$2_OPEN_NON.docx,"['Manager1', 'Manager2', 'Director2', 'AS2']",Room A,Room A,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,"Manager, Manager, Director, Administrative Staff",janva,~$2_OPEN_NON.docx,Non-confidential
2025-03-26 01:00:24,manager2,Computer D,File Move,C:\Users\janva\Downloads\AS1\Manager2_MOVE_NON_OTHERS_1.docx,['Manager2'],Room D,Room D,Manager,9:00:00,18:00:00,Weekend,C4D5E6F7-7890-23CD-78AB-567890ABCDEF,Manager,janva,Manager2_MOVE_NON_OTHERS_1.docx,Non-confidential
2025-03-26 01:00:30,as2,Computer C0,File Opening,C:\Users\janva\Downloads\AS2\~$2_OPENWMOD_NON.docx,['AS2'],Room C,Room C,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,Administrative Staff,janva,~$2_OPENWMOD_NON.docx,Non-confidential
2025-03-26 01:00:33,as2,Computer C0,File Modification,C:\Users\janva\Downloads\AS2\AS2_OPENWMOD_NON.docx,['AS2'],Room C,Room C,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,Administrative Staff,janva,AS2_OPENWMOD_NON.docx,Non-confidential
2025-03-26 01:00:34,as2,Computer C0,File Modification,C:\Users\janva\Downloads\AS2\AS2_OPENWMOD_NON.docx,['AS2'],Room C,Room C,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,Administrative Staff,janva,AS2_OPENWMOD_NON.docx,Non-confidential
2025-03-26 01:00:36,as2,Computer C0,File Modification,C:\Users\janva\Downloads\AS2\AS2_OPENWMOD_NON.docx,['AS2'],Room C,Room C,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,Administrative Staff,janva,AS2_OPENWMOD_NON.docx,Non-confidential
2025-03-26 01:00:40,manager2,Computer D,File Copy,C:\Users\janva\Downloads\Manager2_InternalFolder\Manager2_COPY_INTERNAL_1.docx,['Manager2'],Room D,Room D,Manager,9:00:00,18:00:00,Weekend,C4D5E6F7-7890-23CD-78AB-567890ABCDEF,Manager,janva,Manager2_COPY_INTERNAL_1.docx,Confidential
2025-03-26 01:00:45,director2,Computer C1,File Move,C:\Users\janva\Downloads\Manager1\Director2_MOVE_OTHERS_1.docx,"['Director2', 'Manager1']",Room C,Room C,Director,12:00:00,21:00:00,Weekend,D2E1F0A9-8901-23CD-45EF-6789012345FE,"Director, Manager",janva,Director2_MOVE_OTHERS_1.docx,Confidential
2025-03-26 01:00:50,as1,Computer C0,File Opening,C:\Users\janva\Downloads\AS1\~$1_OPEN.docx,"['Director1', 'AS1']",Room C,Room C,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,"Director, Administrative Staff",janva,~$1_OPEN.docx,Confidential
2025-03-26 01:00:58,as1,Computer D,File Opening,C:\Users\janva\Downloads\AS1\~$1_OPENWMOD_NON.docx,"['Manager1', 'AS1']",Room D,Room D,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,"Manager, Administrative Staff",janva,~$1_OPENWMOD_NON.docx,Non-confidential
2025-03-26 01:01:01,as1,Computer D,File Modification,C:\Users\janva\Downloads\AS1\AS1_OPENWMOD_NON.docx,"['Manager1', 'AS1']",Room D,Room D,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,"Manager, Administrative Staff",janva,AS1_OPENWMOD_NON.docx,Non-confidential
2025-03-26 01:01:02,as1,Computer D,File Modification,C:\Users\janva\Downloads\AS1\AS1_OPENWMOD_NON.docx,"['Manager1', 'AS1']",Room D,Room D,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,"Manager, Administrative Staff",janva,AS1_OPENWMOD_NON.docx,Non-confidential
2025-03-26 01:01:03,as1,Computer D,File Modification,C:\Users\janva\Downloads\AS1\AS1_OPENWMOD_NON.docx,"['Manager1', 'AS1']",Room D,Room D,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,"Manager, Administrative Staff",janva,AS1_OPENWMOD_NON.docx,Non-confidential
2025-03-26 01:01:09,as2,Computer A0,File Deletion,C:\Users\janva\Downloads\AS2\AS2_DELETE_NON_1.docx,"['AS2', 'Manager1']",Room A,Room A,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,"Administrative Staff, Manager",janva,AS2_DELETE_NON_1.docx,Non-confidential
2025-03-26 01:01:13,as2,Computer A0,File Move,C:\Users\janva\Downloads\ExternalDrive\AS2_MOVE_EXTERNAL_1.docx,['AS2'],Room A,Room A,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,Administrative Staff,janva,AS2_MOVE_EXTERNAL_1.docx,Confidential
2025-03-26 01:01:17,manager1,Computer D,File Copy,C:\Users\janva\Downloads\AS1\Manager1_COPY_NON_OTHERS_1.docx,['Manager1'],Room D,Room D,Manager,9:00:00,18:00:00,Weekend,C4D5E6F7-7890-23CD-78AB-567890ABCDEF,Manager,janva,Manager1_COPY_NON_OTHERS_1.docx,Non-confidential
2025-03-26 01:01:22,as2,Computer D,File Copy,C:\Users\janva\Downloads\AS2_InternalFolder\AS2_COPY_NON_INTERNAL_1.docx,['AS2'],Room D,Room D,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,Administrative Staff,janva,AS2_COPY_NON_INTERNAL_1.docx,Non-confidential
2025-03-26 01:01:29,as2,Computer D,File Opening,C:\Users\janva\Downloads\AS2\~$2_OPENWMOD_NON.docx,"['Manager2', 'Manager1', 'AS2']",Room D,Room D,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,"Manager, Manager, Administrative Staff",janva,~$2_OPENWMOD_NON.docx,Non-confidential
2025-03-26 01:01:32,as2,Computer D,File Modification,C:\Users\janva\Downloads\AS2\AS2_OPENWMOD_NON.docx,"['Manager2', 'Manager1', 'AS2']",Room D,Room D,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,"Manager, Manager, Administrative Staff",janva,AS2_OPENWMOD_NON.docx,Non-confidential
2025-03-26 01:01:33,as2,Computer D,File Modification,C:\Users\janva\Downloads\AS2\AS2_OPENWMOD_NON.docx,"['Manager2', 'Manager1', 'AS2']",Room D,Room D,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,"Manager, Manager, Administrative Staff",janva,AS2_OPENWMOD_NON.docx,Non-confidential
2025-03-26 01:01:35,as2,Computer D,File Modification,C:\Users\janva\Downloads\AS2\AS2_OPENWMOD_NON.docx,"['Manager2', 'Manager1', 'AS2']",Room D,Room D,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,"Manager, Manager, Administrative Staff",janva,AS2_OPENWMOD_NON.docx,Non-confidential
2025-03-26 01:01:39,as1,Computer A1,File Move,C:\Users\janva\Downloads\ExternalDrive\AS1_MOVE_EXTERNAL_1.docx,"['Director1', 'AS1', 'Manager2', 'AS2']",Room A,Room A,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,"Director, Administrative Staff, Manager, Administrative Staff",janva,AS1_MOVE_EXTERNAL_1.docx,Confidential
2025-03-26 01:01:44,manager1,Computer C0,File Copy,C:\Users\janva\Downloads\ExternalDrive\Manager1_COPY_NON_EXTERNAL_1.docx,['Manager1'],Room C,Room C,Manager,9:00:00,18:00:00,Weekend,C4D5E6F7-7890-23CD-78AB-567890ABCDEF,Manager,janva,Manager1_COPY_NON_EXTERNAL_1.docx,Non-confidential
2025-03-26 01:01:49,manager2,Computer D,File Copy,C:\Users\janva\Downloads\Manager2_InternalFolder\Manager2_COPY_INTERNAL_2.docx,"['Manager1', 'AS1', 'Director2', 'Manager2', 'Director1']",Room D,Room D,Manager,9:00:00,18:00:00,Weekend,C4D5E6F7-7890-23CD-78AB-567890ABCDEF,"Manager, Administrative Staff, Director, Manager, Director",janva,Manager2_COPY_INTERNAL_2.docx,Confidential
2025-03-26 01:01:56,director2,Computer D,File Move,C:\Users\janva\Downloads\Manager2\Director2_MOVE_NON_OTHERS_1.docx,['Director2'],Room D,Room D,Director,12:00:00,21:00:00,Weekend,D2E1F0A9-8901-23CD-45EF-6789012345FE,Director,janva,Director2_MOVE_NON_OTHERS_1.docx,Non-confidential
2025-03-26 01:02:02,manager1,Computer A0,File Opening,C:\Users\janva\Downloads\Manager1\~$nager1_OPEN_NON.docx,['Manager1'],Room A,Room A,Manager,9:00:00,18:00:00,Weekend,C4D5E6F7-7890-23CD-78AB-567890ABCDEF,Manager,janva,~$nager1_OPEN_NON.docx,Non-confidential
2025-03-26 01:02:02,manager1,Computer A0,File Modification,C:\Users\janva\Downloads\Manager1\Manager1_OPEN_NON.docx,['Manager1'],Room A,Room A,Manager,9:00:00,18:00:00,Weekend,C4D5E6F7-7890-23CD-78AB-567890ABCDEF,Manager,janva,Manager1_OPEN_NON.docx,Non-confidential
2025-03-26 01:02:07,manager2,Computer A1,File Copy,C:\Users\janva\Downloads\ExternalDrive\Manager2_COPY_NON_EXTERNAL_2.docx,"['AS1', 'AS2', 'Manager2', 'Director1']",Room A,Room A,Manager,9:00:00,18:00:00,Weekend,C4D5E6F7-7890-23CD-78AB-567890ABCDEF,"Administrative Staff, Administrative Staff, Manager, Director",janva,Manager2_COPY_NON_EXTERNAL_2.docx,Non-confidential
2025-03-26 01:02:14,as1,Computer C0,File Opening,C:\Users\janva\Downloads\AS1\~$1_OPENWMOD_NON.docx,['AS1'],Room C,Room C,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,Administrative Staff,janva,~$1_OPENWMOD_NON.docx,Non-confidential
2025-03-26 01:02:18,as1,Computer C0,File Modification,C:\Users\janva\Downloads\AS1\AS1_OPENWMOD_NON.docx,['AS1'],Room C,Room C,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,Administrative Staff,janva,AS1_OPENWMOD_NON.docx,Non-confidential
2025-03-26 01:02:19,as1,Computer C0,File Modification,C:\Users\janva\Downloads\AS1\AS1_OPENWMOD_NON.docx,['AS1'],Room C,Room C,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,Administrative Staff,janva,AS1_OPENWMOD_NON.docx,Non-confidential
2025-03-26 01:02:21,as1,Computer C0,File Modification,C:\Users\janva\Downloads\AS1\AS1_OPENWMOD_NON.docx,['AS1'],Room C,Room C,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,Administrative Staff,janva,AS1_OPENWMOD_NON.docx,Non-confidential
2025-03-26 01:02:27,director2,Computer A1,File Copy,C:\Users\janva\Downloads\Manager2\Director2_COPY_NON_OTHERS_2.docx,"['Manager2', 'Director2']",Room A,Room A,Director,12:00:00,21:00:00,Weekend,D2E1F0A9-8901-23CD-45EF-6789012345FE,"Manager, Director",janva,Director2_COPY_NON_OTHERS_2.docx,Non-confidential
2025-03-26 01:02:35,manager1,Computer C0,File Opening,C:\Users\janva\Downloads\Manager1\~$nager1_OPENWMOD.docx,['Manager1'],Room C,Room C,Manager,9:00:00,18:00:00,Weekend,C4D5E6F7-7890-23CD-78AB-567890ABCDEF,Manager,janva,~$nager1_OPENWMOD.docx,Confidential
2025-03-26 01:02:36,manager1,Computer C0,File Modification,C:\Users\janva\Downloads\Manager1\Manager1_OPENWMOD.docx,['Manager1'],Room C,Room C,Manager,9:00:00,18:00:00,Weekend,C4D5E6F7-7890-23CD-78AB-567890ABCDEF,Manager,janva,Manager1_OPENWMOD.docx,Confidential
2025-03-26 01:02:38,manager1,Computer C0,File Modification,C:\Users\janva\Downloads\Manager1\Manager1_OPENWMOD.docx,['Manager1'],Room C,Room C,Manager,9:00:00,18:00:00,Weekend,C4D5E6F7-7890-23CD-78AB-567890ABCDEF,Manager,janva,Manager1_OPENWMOD.docx,Confidential
2025-03-26 01:02:40,manager1,Computer C0,File Modification,C:\Users\janva\Downloads\Manager1\Manager1_OPENWMOD.docx,['Manager1'],Room C,Room C,Manager,9:00:00,18:00:00,Weekend,C4D5E6F7-7890-23CD-78AB-567890ABCDEF,Manager,janva,Manager1_OPENWMOD.docx,Confidential
2025-03-26 01:02:42,manager1,Computer C0,File Modification,C:\Users\janva\Downloads\Manager1\Manager1_OPENWMOD.docx,['Manager1'],Room C,Room C,Manager,9:00:00,18:00:00,Weekend,C4D5E6F7-7890-23CD-78AB-567890ABCDEF,Manager,janva,Manager1_OPENWMOD.docx,Confidential
2025-03-26 01:02:49,manager2,Computer A1,File Opening,C:\Users\janva\Downloads\Manager2\~$nager2_OPENWMOD.docx,"['Director1', 'Manager2']",Room A,Room A,Manager,9:00:00,18:00:00,Weekend,C4D5E6F7-7890-23CD-78AB-567890ABCDEF,"Director, Manager",janva,~$nager2_OPENWMOD.docx,Confidential
2025-03-26 01:02:50,manager2,Computer A1,File Modification,C:\Users\janva\Downloads\Manager2\Manager2_OPENWMOD.docx,"['Director1', 'Manager2']",Room A,Room A,Manager,9:00:00,18:00:00,Weekend,C4D5E6F7-7890-23CD-78AB-567890ABCDEF,"Director, Manager",janva,Manager2_OPENWMOD.docx,Confidential
2025-03-26 01:02:52,manager2,Computer A1,File Modification,C:\Users\janva\Downloads\Manager2\Manager2_OPENWMOD.docx,"['Director1', 'Manager2']",Room A,Room A,Manager,9:00:00,18:00:00,Weekend,C4D5E6F7-7890-23CD-78AB-567890ABCDEF,"Director, Manager",janva,Manager2_OPENWMOD.docx,Confidential
2025-03-26 01:02:53,manager2,Computer A1,File Modification,C:\Users\janva\Downloads\Manager2\Manager2_OPENWMOD.docx,"['Director1', 'Manager2']",Room A,Room A,Manager,9:00:00,18:00:00,Weekend,C4D5E6F7-7890-23CD-78AB-567890ABCDEF,"Director, Manager",janva,Manager2_OPENWMOD.docx,Confidential
2025-03-26 01:02:55,manager2,Computer A1,File Modification,C:\Users\janva\Downloads\Manager2\Manager2_OPENWMOD.docx,"['Director1', 'Manager2']",Room A,Room A,Manager,9:00:00,18:00:00,Weekend,C4D5E6F7-7890-23CD-78AB-567890ABCDEF,"Director, Manager",janva,Manager2_OPENWMOD.docx,Confidential
2025-03-26 01:02:59,director2,Computer C1,File Deletion,C:\Users\janva\Downloads\Director2\Director2_DELETE_1.docx,"['Director2', 'Director1']",Room C,Room C,Director,12:00:00,21:00:00,Weekend,D2E1F0A9-8901-23CD-45EF-6789012345FE,"Director, Director",janva,Director2_DELETE_1.docx,Confidential
2025-03-26 01:03:05,as2,Computer D,File Move,C:\Users\janva\Downloads\AS2_InternalFolder\AS2_MOVE_NON_INTERNAL_1.docx,['Manager2'],Room C,Room D,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,Manager,janva,AS2_MOVE_NON_INTERNAL_1.docx,Non-confidential
2025-03-26 01:03:09,as2,Computer A0,File Move,C:\Users\janva\Downloads\ExternalDrive\AS2_MOVE_NON_EXTERNAL_1.docx,"['AS2', 'Manager1']",Room A,Room A,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,"Administrative Staff, Manager",janva,AS2_MOVE_NON_EXTERNAL_1.docx,Non-confidential
2025-03-26 01:03:13,as2,Computer C0,File Copy,C:\Users\janva\Downloads\ExternalDrive\AS2_COPY_NON_EXTERNAL_1.docx,"['AS2', 'Director2']",Room C,Room C,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,"Administrative Staff, Director",janva,AS2_COPY_NON_EXTERNAL_1.docx,Non-confidential
2025-03-26 01:03:17,as2,Computer C0,File Copy,C:\Users\janva\Downloads\AS2_InternalFolder\AS2_COPY_INTERNAL_2.docx,"['AS2', 'Manager1']",Room C,Room C,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,"Administrative Staff, Manager",janva,AS2_COPY_INTERNAL_2.docx,Confidential
2025-03-26 01:03:23,manager1,Computer C1,File Move,C:\Users\janva\Downloads\Manager1_InternalFolder\Manager1_MOVE_NON_INTERNAL_1.docx,['Manager1'],Room C,Room C,Manager,9:00:00,18:00:00,Weekend,C4D5E6F7-7890-23CD-78AB-567890ABCDEF,Manager,janva,Manager1_MOVE_NON_INTERNAL_1.docx,Non-confidential
2025-03-26 01:03:29,director1,Computer D,File Opening,C:\Users\janva\Downloads\Director1\~$rector1_OPEN_NON.docx,['Director1'],Room D,Room D,Director,12:00:00,21:00:00,Weekend,D2E1F0A9-8901-23CD-45EF-6789012345FE,Director,janva,~$rector1_OPEN_NON.docx,Non-confidential
2025-03-26 01:03:29,director1,Computer D,File Modification,C:\Users\janva\Downloads\Director1\Director1_OPEN_NON.docx,['Director1'],Room D,Room D,Director,12:00:00,21:00:00,Weekend,D2E1F0A9-8901-23CD-45EF-6789012345FE,Director,janva,Director1_OPEN_NON.docx,Non-confidential
2025-03-26 01:03:33,director2,Computer C0,File Copy,C:\Users\janva\Downloads\ExternalDrive\Director2_COPY_NON_EXTERNAL_1.docx,['Director2'],Room C,Room C,Director,12:00:00,21:00:00,Weekend,D2E1F0A9-8901-23CD-45EF-6789012345FE,Director,janva,Director2_COPY_NON_EXTERNAL_1.docx,Non-confidential
2025-03-26 01:03:37,manager1,Computer C1,File Copy,C:\Users\janva\Downloads\AS1\Manager1_COPY_NON_OTHERS_2.docx,"['Manager2', 'Manager1', 'AS2']",Room C,Room C,Manager,9:00:00,18:00:00,Weekend,C4D5E6F7-7890-23CD-78AB-567890ABCDEF,"Manager, Manager, Administrative Staff",janva,Manager1_COPY_NON_OTHERS_2.docx,Non-confidential
2025-03-26 01:03:43,director1,Computer D,File Opening,C:\Users\janva\Downloads\Director1\~$rector1_OPENWMOD.docx,['Director1'],Room D,Room D,Director,12:00:00,21:00:00,Weekend,D2E1F0A9-8901-23CD-45EF-6789012345FE,Director,janva,~$rector1_OPENWMOD.docx,Confidential
